Laboratory,Test,adult,assay,collection,container,external,note,row,specimen,testCode,testId,transport
Microbiology,Influenza A Serology,,Weekly,"For retrospective diagnosis only.

For the diagnosis of acute infection, send appropriate respiratory sample for PCR testing.",Influenza A SerologyLaboratory:MicrobiologyTest Code:FLASpecimen Types:Serum,V.I.D.R.L.,"Acute samples will be stored.  Testing will only be performed on paired acute and convalescent samples collected at least 2 weeks apart.

For diagnosis of acute influenza, send a sample for Respiratory PCR testing.","Influenza A SerologyLaboratory:MicrobiologyTest Code:FLASpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:For retrospective diagnosis only.

For the diagnosis of acute infection, send appropriate respiratory sample for PCR testing.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:V.I.D.R.L.Additional Notes:Acute samples will be stored.  Testing will only be performed on paired acute and convalescent samples collected at least 2 weeks apart.

For diagnosis of acute influenza, send a sample for Respiratory PCR testing.",Serum,FLA,17,Room Temperature
Microbiology,Influenza B Serology,,Weekly,"For retrospective diagnosis only.

For diagnosis of acute infection, send appropriate respiratory specimen for PCR testing.",Influenza B SerologyLaboratory:MicrobiologyTest Code:FLBSpecimen Types:Serum,V.I.D.R.L.,"Acute samples will be stored.  Testing will only be performed on paired acute and convalescent samples collected at least 2 weeks apart.

For diagnosis of acute influenza, please send sample for Respiratory virus PCR testing.","Influenza B SerologyLaboratory:MicrobiologyTest Code:FLBSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:For retrospective diagnosis only.

For diagnosis of acute infection, send appropriate respiratory specimen for PCR testing.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:V.I.D.R.L.Additional Notes:Acute samples will be stored.  Testing will only be performed on paired acute and convalescent samples collected at least 2 weeks apart.

For diagnosis of acute influenza, please send sample for Respiratory virus PCR testing.",Serum,FLB,18,Room Temperature
Microbiology,Japanese B Encephalitis Serology,,Weekly,Details of travel/exposure history must be provided.,"Japanese B Encephalitis SerologyLaboratory:MicrobiologyTest Code:JBE, Japanese B EncephalitisSpecimen Types:Serum","Japanese B Encephalitis SerologyLaboratory:MicrobiologyTest Code:JBE, Japanese B EncephalitisSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Details of travel/exposure history must be provided.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekly",,"Japanese B Encephalitis SerologyLaboratory:MicrobiologyTest Code:JBE, Japanese B EncephalitisSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Details of travel/exposure history must be provided.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:V.I.D.R.L.",Serum,"JBE, Japanese B Encephalitis",19,Room Temperature
Microbiology,Legionella Serology,Legionella SerologyLaboratory:MicrobiologyTest Code:LEGSSpecimen Types:SerumContainer Types:SST,,,SST,Legionella SerologyLaboratory:MicrobiologyTest Code:LEGSSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:2 mLTransport Instructions between Sites and/or Laboratories:Room Temperature,,Legionella SerologyLaboratory:MicrobiologyTest Code:LEGSSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:2 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:V.I.D.R.L.,Serum,LEGS,20,Legionella SerologyLaboratory:MicrobiologyTest Code:LEGSSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:2 mL
Haematology,Malarial ParasitesAlternative Names:Thick and Thin films,,,"Adequate clinical details are required. An FBE is usually performed at the same time. 
Emergency Department patients should not be discharged until report is available.

Retrospective testing within 3 hours",Malarial ParasitesAlternative Names:Thick and Thin filmsLaboratory:HaematologyTest Code:MPSpecimen Types:Blood,,,"Malarial ParasitesAlternative Names:Thick and Thin filmsLaboratory:HaematologyTest Code:MPSpecimen Types:BloodContainer Types:EDTA 3 mLCollection & Request Instructions:Adequate clinical details are required. An FBE is usually performed at the same time. 
Emergency Department patients should not be discharged until report is available.

Retrospective testing within 3 hoursTransport Instructions between Sites and/or Laboratories:Room Temperature",Blood,MP,21,"Malarial ParasitesAlternative Names:Thick and Thin filmsLaboratory:HaematologyTest Code:MPSpecimen Types:BloodContainer Types:EDTA 3 mLCollection & Request Instructions:Adequate clinical details are required. An FBE is usually performed at the same time. 
Emergency Department patients should not be discharged until report is available.

Retrospective testing within 3 hours"
Microbiology,Measles Serology,,"Measles SerologyLaboratory:MicrobiologyTest Code:MEASSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Only measles IgG tested routinely.

Please specify if measles IgM is required.Transport Instructions between Sites and/or Laboratories:Room Temperature","Only measles IgG tested routinely.

Please specify if measles IgM is required.",Measles SerologyLaboratory:MicrobiologyTest Code:MEASSpecimen Types:Serum,,,"Measles SerologyLaboratory:MicrobiologyTest Code:MEASSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Only measles IgG tested routinely.

Please specify if measles IgM is required.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekly",Serum,MEAS,22,Room Temperature
Microbiology,Mumps Serology,,"Mumps SerologyLaboratory:MicrobiologyTest Code:MUMPSSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Mumps IgG routinely performed.

Specify if mumps IgM required.Transport Instructions between Sites and/or Laboratories:Room Temperature","Mumps IgG routinely performed.

Specify if mumps IgM required.",Mumps SerologyLaboratory:MicrobiologyTest Code:MUMPSSpecimen Types:Serum,,,"Mumps SerologyLaboratory:MicrobiologyTest Code:MUMPSSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Mumps IgG routinely performed.

Specify if mumps IgM required.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekly",Serum,MUMPS,23,Room Temperature
Microbiology,Parvovirus Serology,,,,Parvovirus SerologyLaboratory:MicrobiologyTest Code:PARVSpecimen Types:Serum,Parvovirus SerologyLaboratory:MicrobiologyTest Code:PARVSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room Temperature,,Parvovirus SerologyLaboratory:MicrobiologyTest Code:PARVSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:V.I.D.R.L.,Serum,PARV,24,Parvovirus SerologyLaboratory:MicrobiologyTest Code:PARVSpecimen Types:SerumContainer Types:SST
Microbiology,Q Fever SerologyAlternative Names:Coxiella burnetii Serology,0.5 mL,3 x weekly (thrice),Routine testing detects both Phase I (chronic Q fever) and Phase II antibodies (acute Q fever).,SST,"Q Fever SerologyAlternative Names:Coxiella burnetii SerologyLaboratory:MicrobiologyTest Code:QFEV, QFEVGSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:0.5 mLCollection & Request Instructions:Routine testing detects both Phase I (chronic Q fever) and Phase II antibodies (acute Q fever).Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:3 x weekly (thrice)",,"Q Fever SerologyAlternative Names:Coxiella burnetii SerologyLaboratory:MicrobiologyTest Code:QFEV, QFEVGSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:0.5 mLCollection & Request Instructions:Routine testing detects both Phase I (chronic Q fever) and Phase II antibodies (acute Q fever).Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:3 x weekly (thrice)External Laboratory:Australian Rickettsial Reference Laboratory",Serum,"QFEV, QFEVG",25,Room Temperature
Microbiology,Ross River Virus Serology,,,,Ross River Virus SerologyLaboratory:MicrobiologyTest Code:RRVSpecimen Types:Serum,Ross River Virus SerologyLaboratory:MicrobiologyTest Code:RRVSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room Temperature,,Ross River Virus SerologyLaboratory:MicrobiologyTest Code:RRVSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:V.I.D.R.L.,Serum,RRV,26,Ross River Virus SerologyLaboratory:MicrobiologyTest Code:RRVSpecimen Types:SerumContainer Types:SST
Microbiology,Respiratory Synctial Virus SerologyAlternative Names:RSV Serology,,,,Respiratory Synctial Virus SerologyAlternative Names:RSV SerologyLaboratory:MicrobiologyTest Code:RSVSpecimen Types:Serum,Respiratory Synctial Virus SerologyAlternative Names:RSV SerologyLaboratory:MicrobiologyTest Code:RSVSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room Temperature,,Respiratory Synctial Virus SerologyAlternative Names:RSV SerologyLaboratory:MicrobiologyTest Code:RSVSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:V.I.D.R.L.,Serum,RSV,27,Respiratory Synctial Virus SerologyAlternative Names:RSV SerologyLaboratory:MicrobiologyTest Code:RSVSpecimen Types:SerumContainer Types:SST
Microbiology,Rubella IgM,,,,Rubella IgMLaboratory:MicrobiologyTest Code:RUBIGMSpecimen Types:Serum,Rubella IgMLaboratory:MicrobiologyTest Code:RUBIGMSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room Temperature,,Rubella IgMLaboratory:MicrobiologyTest Code:RUBIGMSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:V.I.D.R.L.,Serum,RUBIGM,28,Rubella IgMLaboratory:MicrobiologyTest Code:RUBIGMSpecimen Types:SerumContainer Types:SST
Clinical Biochemistry,Itraconazole,5 mL,External sites,"Collect samples pre dose.

Do not use tubes with gel separator.

Dose information should be provided and length of therapy must be >5 days.",EDTA 10 mL,External sitesAssay Frequency:3 x weekly (thrice),"Reference Interval:

Itraconazole (trough) - Localised infection > 0.5 mg/L
                               - Systemic infection >1.0 mg/L

OH-Itraconazole has similar activity to itraconazole and levels can be added to give the sum of both levels ( in this case therapeutic range recommend > 1.0 mg/L).","ItraconazoleLaboratory:Clinical BiochemistryTest Code:ITCOSpecimen Types:PlasmaContainer Types:EDTA 10 mLAdults Volume or Mass:5 mLCollection & Request Instructions:Collect samples pre dose.

Do not use tubes with gel separator.

Dose information should be provided and length of therapy must be >5 days.Transport Instructions between Sites and/or Laboratories:RoomTemp within Alfred/Esky from External sitesAssay Frequency:3 x weekly (thrice)Additional Notes:Reference Interval:

Itraconazole (trough) - Localised infection > 0.5 mg/L
                               - Systemic infection >1.0 mg/L

OH-Itraconazole has similar activity to itraconazole and levels can be added to give the sum of both levels ( in this case therapeutic range recommend > 1.0 mg/L).",Plasma,ITCO,29,RoomTemp within Alfred/Esky from External sites
Clinical Biochemistry,alpha-Galactosidase AAlternative Names:Galactosidase A; alpha,,,"Guthrie card - dry ovenight before shipping

Whole blood - needs to arrive at SA Pathology within 48 hours of collection.

Blood AND 30 mL of Urine required.",alpha-Galactosidase AAlternative Names:Galactosidase A; alphaLaboratory:Clinical BiochemistryTest Code:AGASpecimen Types:BloodUrine random,SA Pathology at Women's and Children's Hospital,"This is a non-MBS test. (Patient needs to agree to pay, $178)","alpha-Galactosidase AAlternative Names:Galactosidase A; alphaLaboratory:Clinical BiochemistryTest Code:AGASpecimen Types:BloodUrine randomContainer Types:Guthrie cardEDTA 3 mLPlain 70mL potEDTA 10 mLCollection & Request Instructions:Guthrie card - dry ovenight before shipping

Whole blood - needs to arrive at SA Pathology within 48 hours of collection.

Blood AND 30 mL of Urine required.Transport Instructions between Sites and/or Laboratories:Room TemperatureBlood must be shipped at Room Temperature and be sent to SA Pathology within 48 hours of collection.External Laboratory:SA Pathology at Women's and Children's HospitalAdditional Notes:This is a non-MBS test. (Patient needs to agree to pay, $178)",BloodUrine random,AGA,30,"alpha-Galactosidase AAlternative Names:Galactosidase A; alphaLaboratory:Clinical BiochemistryTest Code:AGASpecimen Types:BloodUrine randomContainer Types:Guthrie cardEDTA 3 mLPlain 70mL potEDTA 10 mLCollection & Request Instructions:Guthrie card - dry ovenight before shipping

Whole blood - needs to arrive at SA Pathology within 48 hours of collection.

Blood AND 30 mL of Urine required."
